nino12,nino3,nino34,nino4
24.75,27.13,27.75,28.43
22.87,25.92,27.02,28.29
21.96,25.55,27.02,28.49
20.84,24.55,26.25,28.22
19.96,24.2,26.09,27.92
19.58,23.95,25.89,27.9
20.38,24.52,26.28,27.95
21.05,24.02,25.56,27.54
22.01,24.33,25.93,27.97
24.02,24.66,25.55,27.17
26.96,26.26,26.29,27.3
27.49,26.98,26.73,27.55
26.56,27.25,27.25,27.98
24.81,26.85,27.47,28.36
24.23,26.79,27.51,28.15
22.78,26.4,27.73,28.73
21.97,25.86,27.55,28.79
21.57,25.73,27.52,28.89
22.03,25.76,27.58,28.98
22.8,25.82,27.66,29.17
24.21,26.65,28.19,29.21
26.15,27.07,28.1,28.76
27,27.43,28.06,28.85
27.45,28.27,28.44,28.98
26.47,28.55,28.78,28.91
24.76,27.88,28.69,29.33
23.08,26.99,28.29,29.17
22.34,26.29,27.86,28.94
20.55,25.09,27.03,28.71
20.33,24.67,26.68,28.66
20.94,24.69,26.34,28.29
21.52,24.69,26.38,28.09
22.78,25.03,26.36,28.09
24.78,25.63,26.68,28.15
26.39,26.68,27,28.22
26.56,26.93,27.08,27.95
25.28,27.15,27.5,28.42
24.09,26.46,27.28,28.29
22.6,26.19,27.54,28.54
21.23,25.13,26.92,28.52
20.69,24.8,26.78,28.59
20.4,24.88,26.6,28.4
20.61,25.06,27,28.59
21.83,24.89,26.61,28.37
22.57,25.1,26.84,28.58
24.28,25.73,27.05,28.52
26.08,26.38,26.97,28.34
26.78,26.91,27.01,28.29
25.46,27.14,27.55,28.53
24.12,26.78,27.83,28.85
22.32,25.92,27.43,28.72
20.97,25.34,27.25,28.53
20.4,24.61,26.59,28.52
19.86,24.69,26.62,28.4
20.27,24.65,26.61,28.41
21,24.55,26.49,28.46
21.96,24.94,26.56,28.06
23.95,25.25,26.43,27.83
26,26.26,26.69,27.91
26.67,26.99,27.11,28.13
26.24,27.57,27.62,28.34
24.71,27.05,27.7,28.53
23.47,26.59,27.81,28.8
21.78,25.45,27.21,28.81
20.85,25.05,26.98,28.59
20.97,25.29,27.05,28.62
20.92,25.19,27.13,28.73
21.65,25.09,26.84,28.68
22.56,25.54,27.22,28.87
23.89,25.56,26.93,28.66
26.01,26.3,27.15,28.62
26.66,27.13,27.55,28.73
26.33,27.78,28.18,28.9
24.73,26.94,27.83,28.72
23.56,26.68,27.95,28.89
22.6,26.36,27.86,29
21.89,25.93,27.56,28.75
21.79,26.21,28.04,29.14
22.81,26.31,27.87,29.1
23.34,26.78,28.44,29.42
24.33,26.7,28,28.96
25.91,27.16,28.07,28.9
27.01,27.53,28.1,29.07
27.32,28.27,28.44,28.72
26.27,28.35,28.73,28.93
24.29,27.42,28.49,29.27
22.8,26.59,28.16,29.3
22.05,25.88,27.63,29.07
20.65,24.83,27.02,28.91
20.35,24.4,26.33,28.3
21.12,24.85,26.51,28.31
21.54,24.51,26.38,28.49
22.67,24.75,26.31,28.09
25.33,25.34,26.16,27.79
27.24,26.33,26.57,27.81
27.55,27.44,27.51,28.36
26.21,27.73,28.02,28.37
25.85,27.51,28.14,28.74
24.39,26.88,27.87,28.63
22.69,25.66,27.11,28.27
21.41,25.17,26.97,28.49
20.55,24.85,26.77,28.47
21.28,24.85,26.75,28.54
21.48,24.74,26.61,28.45
22.61,24.71,26.18,28
24.05,25.3,26.36,28.1
26.47,26.3,26.68,27.9
26.82,26.93,27.05,28.08
25.54,27.44,27.78,28.32
23.73,26.55,27.46,28.3
22.67,25.71,26.83,27.95
20.83,24.89,26.56,28.15
20.31,24.15,25.93,27.83
20.06,24.2,25.98,27.72
20.43,23.96,25.63,27.45
21.56,23.95,25.59,27.7
22.35,24,25.38,27.3
24.36,24.93,25.64,27.13
25.58,25.66,25.89,27.19
26.79,26.44,26.31,27.23
25.89,27.38,27.35,27.91
24.54,26.63,27.37,28.12
23.64,26.27,27.35,28.25
21.22,25.13,26.8,28.12
21.38,24.84,26.55,27.9
20.88,24.76,26.23,27.96
20.53,24.7,26.48,28.09
21.12,24.93,26.54,28.2
21.84,24.71,26.34,28.07
23.67,25.06,26.26,27.81
24.51,25.7,26.57,28.01
26.26,26.79,26.98,27.94
26.17,27.36,27.45,28
24.51,26.68,27.32,28.12
22.63,25.91,27.28,28.25
21.04,24.77,26.58,28.14
20.77,25,26.93,28.57
20.99,25.08,26.83,28.51
20.93,25,27.01,28.74
21.99,25.27,26.94,28.61
23.1,25.18,26.55,28.32
24.27,26.14,27.32,28.32
26.52,26.72,27.25,28.31
26.63,26.98,27.26,28.31
25.89,27.62,28.06,28.71
24.61,26.69,27.8,29.15
22.67,25.89,27.33,28.57
21.72,25.28,26.88,28.49
20.58,24.65,26.55,28.44
20.89,24.9,26.65,28.49
21.54,25.36,27.12,28.77
21.84,25.01,26.62,28.35
22.37,25.59,27.22,28.74
24.78,25.42,26.27,28.04
26.32,26.56,27.06,28.38
26.1,26.88,27.51,28.84
25.72,27.6,27.98,28.48
23.55,26.37,27.44,28.61
22.29,26.05,27.39,28.38
21.59,25.53,27.32,28.77
20.52,24.59,26.67,28.53
20.41,25.18,26.93,28.42
20.48,24.67,26.63,28.46
20.81,24.94,26.87,28.67
22.08,25.2,26.8,28.15
23.63,25.21,26.37,28
25.37,26.36,26.99,28.03
26.11,26.84,27.2,28.26
24.18,27.14,27.86,28.27
24.36,26.7,27.53,28.29
21.59,25.25,26.8,28.07
19.5,24.03,26.24,28.11
19.72,23.96,26.07,27.85
20.13,24.31,26.47,28.32
20.91,24.22,25.98,27.83
21.41,24.11,25.93,27.98
21.69,24.08,25.79,27.86
24.44,24.89,25.91,27.67
26.07,25.44,25.81,27.48
26.38,26.16,26.41,27.8
25.47,27.16,27.5,28.3
24.89,26.9,27.61,28.62
23.4,26.71,27.74,28.47
21.86,25.72,27.48,28.71
21.18,25.18,26.94,28.43
20.13,24.97,27.19,29.16
21.24,24.7,26.27,28
21.79,25.35,26.98,28.47
22.89,25.16,26.64,28.68
25.23,26.76,27.76,28.76
26.65,27.63,28.14,28.8
26.98,28.2,28.44,28.94
25.99,28.28,28.57,28.87
24.67,27.28,28.21,29.07
23.52,26.87,28.24,29.25
21.96,25.55,27.43,29.09
21.36,25.69,27.63,28.87
20.85,25.01,26.8,28.65
21.42,25.12,27.06,28.98
21.97,25.28,27.35,29.15
23.05,26.26,27.98,29.22
25.02,26.83,27.95,28.92
27.26,27.63,28.11,28.75
28.15,28.49,28.67,29.2
27.07,28.76,29.13,29.49
25.69,28.26,29.18,29.8
23.28,27.15,28.57,29.33
21.98,26.06,27.95,29.35
21.77,25.69,27.66,29.18
21.49,25.55,27.43,29.04
21.91,25.84,27.72,29.26
23.23,26.12,27.83,29.37
24.38,26.45,27.86,29.28
25.46,26.09,27.19,28.74
26.4,26.55,27.29,28.54
26.24,27.13,27.51,28.35
24.89,27.53,28.34,28.99
24.1,26.77,27.76,28.66
22.02,25.65,27.17,28.53
20.56,24.57,26.67,28.45
19.43,23.73,25.92,28.16
19.54,23.61,25.58,27.96
